epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,197.415,1.48129,1.81591,2.03338,0.62463,0.70925,0.76985,0.56155,1.16361,1.73921,1.77368,0.000996313,0.000996313,0.000996313
43,201.662,1.46448,1.82717,1.96221,0.50388,0.81134,0.77706,0.57327,1.1275,1.96159,1.68812,0.000990125,0.000990125,0.000990125
44,205.943,1.36973,1.70991,1.90796,0.52001,0.69687,0.74486,0.53452,1.19371,2.05405,1.87453,0.000983938,0.000983938,0.000983938
45,210.217,1.32171,1.66083,1.89948,0.6424,0.70255,0.76339,0.55028,1.10494,1.89855,1.72352,0.00097775,0.00097775,0.00097775
46,214.557,1.2384,1.56583,1.81029,0.63056,0.78385,0.79085,0.55023,1.07184,1.702,1.68646,0.000971562,0.000971562,0.000971562
47,218.9,1.2609,1.5612,1.8067,0.74382,0.70263,0.84481,0.61009,1.19693,1.59911,1.70133,0.000965375,0.000965375,0.000965375
48,223.141,1.23966,1.55161,1.75921,0.46794,0.59731,0.68364,0.5117,1.1436,2.25254,1.84483,0.000959187,0.000959187,0.000959187
49,227.383,1.21194,1.54846,1.75314,0.6328,0.28588,0.51854,0.33917,1.32259,2.89001,2.02648,0.000953,0.000953,0.000953
50,231.614,1.29696,1.59067,1.80182,0.553,0.58547,0.65498,0.49259,1.04948,2.37912,1.75961,0.000946812,0.000946812,0.000946812
51,235.854,1.1836,1.53362,1.70243,0.74655,0.81013,0.85453,0.66292,0.99771,1.63311,1.59939,0.000940625,0.000940625,0.000940625
52,240.099,1.18955,1.46629,1.70235,0.82428,0.83218,0.85481,0.65615,0.98301,1.35636,1.5848,0.000934438,0.000934438,0.000934438
53,244.384,1.19591,1.45562,1.71331,0.79293,0.79504,0.85113,0.65822,1.05312,1.46429,1.59484,0.00092825,0.00092825,0.00092825
54,248.673,1.14847,1.45402,1.71356,0.7954,0.7901,0.92208,0.73677,0.95286,1.41301,1.50897,0.000922063,0.000922063,0.000922063
55,252.979,1.11741,1.40193,1.65778,0.82033,0.76529,0.92286,0.72091,1.03803,1.39305,1.56247,0.000915875,0.000915875,0.000915875
56,257.279,1.1548,1.37985,1.65248,0.87003,0.77642,0.92211,0.76197,0.87647,1.31661,1.47894,0.000909688,0.000909688,0.000909688
57,261.89,1.13417,1.40842,1.65541,0.784,0.78296,0.8905,0.69865,1.05024,1.3027,1.50916,0.0009035,0.0009035,0.0009035
58,266.179,1.03482,1.28682,1.57269,0.59852,0.83813,0.77912,0.59476,0.91523,1.51159,1.54025,0.000897313,0.000897313,0.000897313
59,270.469,1.1277,1.32288,1.68264,0.7756,0.72106,0.82308,0.66447,0.87093,1.54926,1.50156,0.000891125,0.000891125,0.000891125
60,274.75,1.09236,1.33088,1.62243,0.73427,0.77597,0.77706,0.61338,0.90717,1.44629,1.53013,0.000884938,0.000884938,0.000884938
61,279.016,1.11453,1.31457,1.62065,0.74925,0.87426,0.88845,0.71516,0.84511,1.28433,1.46769,0.00087875,0.00087875,0.00087875
62,283.26,1.09587,1.28943,1.62666,0.78647,0.81352,0.89633,0.70451,0.89881,1.36945,1.47662,0.000872563,0.000872563,0.000872563
63,287.861,1.07449,1.2328,1.55632,0.92188,0.81071,0.90587,0.72945,0.84515,1.19987,1.43841,0.000866375,0.000866375,0.000866375
64,292.152,1.11069,1.31354,1.62728,0.88967,0.85961,0.92642,0.74958,0.90933,1.17605,1.47812,0.000860188,0.000860188,0.000860188
65,296.484,1.01592,1.21433,1.53236,0.80004,0.85216,0.92761,0.75878,0.80768,1.27087,1.41445,0.000854,0.000854,0.000854
66,300.771,1.02401,1.21085,1.54,0.61321,0.89416,0.87359,0.71031,0.86671,1.50828,1.46902,0.000847813,0.000847813,0.000847813
67,305.111,1.05658,1.22878,1.58691,0.66852,0.92784,0.91557,0.75699,0.77369,1.21907,1.39626,0.000841625,0.000841625,0.000841625
68,309.489,1.05021,1.22217,1.60098,0.7897,0.77446,0.87176,0.73157,0.72606,1.27474,1.40415,0.000835438,0.000835438,0.000835438
69,313.833,1.00325,1.20899,1.52304,0.77834,0.8892,0.92066,0.79457,0.74957,1.12524,1.36844,0.00082925,0.00082925,0.00082925
70,318.186,0.96481,1.13256,1.51601,0.77597,0.87319,0.91718,0.79199,0.75022,1.14118,1.36997,0.000823063,0.000823063,0.000823063
71,322.48,1.00478,1.13859,1.52115,0.85286,0.79481,0.88939,0.7678,0.76487,1.28771,1.38153,0.000816875,0.000816875,0.000816875
72,326.806,1.03596,1.20034,1.5437,0.71636,0.76792,0.84704,0.70463,0.75486,1.45197,1.36982,0.000810688,0.000810688,0.000810688
