epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,246.759,1.19331,1.48528,1.7872,0.71748,0.79071,0.83341,0.64626,1.0548,1.18057,1.61683,0.000996313,0.000996313,0.000996313
43,252.394,1.19335,1.39143,1.77864,0.76502,0.78916,0.84551,0.64276,1.16512,1.39495,1.70692,0.000990125,0.000990125,0.000990125
44,257.935,1.17113,1.41368,1.78159,0.69109,0.75361,0.79344,0.6275,0.93738,1.73829,1.52675,0.000983938,0.000983938,0.000983938
45,263.467,1.19679,1.38117,1.77468,0.7125,0.9233,0.85817,0.694,1.0088,1.33283,1.55738,0.00097775,0.00097775,0.00097775
46,269.009,1.20913,1.41124,1.79526,0.63304,0.84085,0.81654,0.60534,1.02909,1.67566,1.52573,0.000971562,0.000971562,0.000971562
47,274.537,1.15099,1.31738,1.7344,0.81202,0.76961,0.85297,0.66846,1.05948,1.48879,1.55574,0.000965375,0.000965375,0.000965375
48,280.027,1.1306,1.29934,1.67319,0.69645,0.88539,0.81472,0.65723,0.91685,1.2532,1.4116,0.000959187,0.000959187,0.000959187
49,285.554,1.09889,1.34152,1.70033,0.6684,0.88653,0.82761,0.68275,0.9837,1.42605,1.52948,0.000953,0.000953,0.000953
50,291.06,1.13615,1.31711,1.68569,0.78889,0.8411,0.88413,0.70139,0.82292,1.06075,1.30905,0.000946812,0.000946812,0.000946812
51,296.579,1.09776,1.31473,1.66974,0.83681,0.89224,0.86389,0.71448,0.90255,1.12813,1.44011,0.000940625,0.000940625,0.000940625
52,302.083,1.07418,1.23673,1.628,0.62233,0.74234,0.82426,0.67027,0.90001,1.28197,1.38201,0.000934438,0.000934438,0.000934438
53,307.586,1.06362,1.27533,1.62359,0.66337,0.86569,0.8838,0.72546,0.84862,1.13347,1.34635,0.00092825,0.00092825,0.00092825
54,313.082,1.10233,1.2901,1.65241,0.6231,0.94962,0.85966,0.70021,0.79225,1.26796,1.36834,0.000922063,0.000922063,0.000922063
55,318.623,1.04798,1.23639,1.65839,0.79794,0.91881,0.889,0.72635,0.79959,1.09929,1.36037,0.000915875,0.000915875,0.000915875
56,324.152,1.06571,1.22491,1.62151,0.65425,0.90066,0.88312,0.71589,0.92448,1.23985,1.39632,0.000909688,0.000909688,0.000909688
57,329.656,1.08824,1.2268,1.64528,0.73452,0.91325,0.882,0.71792,0.88676,1.08612,1.3179,0.0009035,0.0009035,0.0009035
58,335.179,0.98669,1.14419,1.55985,0.80342,0.8726,0.87702,0.72467,0.73662,0.99873,1.24909,0.000897313,0.000897313,0.000897313
59,340.664,1.00636,1.20331,1.57398,0.80752,0.78999,0.89119,0.75244,0.66999,0.96161,1.20762,0.000891125,0.000891125,0.000891125
60,346.284,0.93441,1.08851,1.54565,0.79112,0.83748,0.90191,0.7646,0.74295,1.1245,1.27766,0.000884938,0.000884938,0.000884938
61,351.791,0.9475,1.12315,1.54336,0.74256,0.93141,0.85501,0.74685,0.68575,1.0311,1.26351,0.00087875,0.00087875,0.00087875
62,357.363,0.99803,1.12932,1.55956,0.7518,0.78847,0.84797,0.7255,0.67501,1.00467,1.21641,0.000872563,0.000872563,0.000872563
63,363.057,0.9303,1.02334,1.51903,0.76141,0.75267,0.83717,0.72384,0.80346,1.06315,1.34894,0.000866375,0.000866375,0.000866375
64,368.814,0.95661,1.13559,1.5725,0.73331,0.85982,0.87126,0.76601,0.78198,1.0508,1.35028,0.000860188,0.000860188,0.000860188
65,374.504,0.90934,1.05241,1.50244,0.66786,0.86832,0.79916,0.69712,0.72486,1.18327,1.28305,0.000854,0.000854,0.000854
66,380.166,0.90149,1.0527,1.46104,0.73621,0.87584,0.8265,0.68596,0.73436,1.06639,1.28965,0.000847813,0.000847813,0.000847813
67,385.674,0.94322,1.06878,1.53497,0.73312,0.87762,0.88662,0.74251,0.71044,1.24713,1.24938,0.000841625,0.000841625,0.000841625
68,391.232,0.88791,0.97766,1.45655,0.83613,0.82088,0.9126,0.81674,0.68553,0.94337,1.23775,0.000835438,0.000835438,0.000835438
69,396.738,0.91046,1.02523,1.49623,0.83258,0.81016,0.90629,0.80096,0.71969,0.91074,1.23761,0.00082925,0.00082925,0.00082925
70,402.269,0.89521,1.00296,1.48995,0.81226,0.8743,0.90217,0.77006,0.70873,1.05124,1.23754,0.000823063,0.000823063,0.000823063
71,407.848,0.8439,1.0096,1.44939,0.83658,0.82394,0.91083,0.78708,0.75085,1.01059,1.25308,0.000816875,0.000816875,0.000816875
72,413.366,0.88804,0.99162,1.4614,0.76627,0.95333,0.89843,0.78439,0.80906,1.02682,1.28557,0.000810688,0.000810688,0.000810688
73,418.885,0.86836,0.98723,1.45838,0.72823,0.76652,0.83027,0.73973,0.69985,1.22835,1.23208,0.0008045,0.0008045,0.0008045
74,424.406,0.81155,0.94818,1.39874,0.76532,0.82282,0.83953,0.75576,0.6937,1.06815,1.1934,0.000798313,0.000798313,0.000798313
75,429.931,0.87227,0.96603,1.46324,0.81605,0.94763,0.91802,0.81094,0.74328,0.81986,1.24096,0.000792125,0.000792125,0.000792125
76,435.44,0.91409,0.99577,1.47205,0.77589,0.96149,0.87971,0.77444,0.69006,0.84442,1.20807,0.000785938,0.000785938,0.000785938
77,440.973,0.88251,0.97794,1.45746,0.75285,0.95317,0.88135,0.78029,0.69843,0.88524,1.22198,0.00077975,0.00077975,0.00077975
78,446.459,0.88827,0.99693,1.45514,0.77128,0.89317,0.89169,0.79074,0.79452,0.83744,1.25654,0.000773563,0.000773563,0.000773563
79,451.974,0.86298,0.98642,1.42766,0.85988,0.85613,0.90915,0.80437,0.78328,0.87932,1.26631,0.000767375,0.000767375,0.000767375
80,457.506,0.89512,0.97644,1.44125,0.84242,0.88697,0.8986,0.78611,0.78152,1.03557,1.30938,0.000761188,0.000761188,0.000761188
81,463.022,0.91233,0.98591,1.48467,0.76509,0.89732,0.92323,0.81622,0.6412,0.90213,1.16999,0.000755,0.000755,0.000755
82,468.571,0.88278,0.93087,1.4613,0.85302,0.82634,0.90496,0.75428,0.70776,1.02679,1.22614,0.000748813,0.000748813,0.000748813
83,474.112,0.93267,1.01138,1.47522,0.76893,0.94355,0.88699,0.7766,0.68462,0.8697,1.21727,0.000742625,0.000742625,0.000742625
84,479.665,0.84895,0.87537,1.38295,0.66355,0.82307,0.79945,0.68794,0.80286,1.55135,1.22711,0.000736438,0.000736438,0.000736438
85,485.2,0.79595,0.91024,1.36166,0.5451,0.74509,0.69031,0.62024,0.69447,1.80392,1.21808,0.00073025,0.00073025,0.00073025
86,490.777,0.81039,0.92649,1.42164,0.86174,0.84912,0.91577,0.80539,0.66198,0.92974,1.16002,0.000724062,0.000724062,0.000724062
87,496.328,0.82463,0.92035,1.37781,0.89661,0.84762,0.93184,0.82275,0.63702,0.85753,1.166,0.000717875,0.000717875,0.000717875
88,501.865,0.78813,0.8589,1.36863,0.87163,0.86335,0.92765,0.80542,0.66239,0.77012,1.15831,0.000711687,0.000711687,0.000711687
89,507.398,0.80941,0.88434,1.38156,0.83925,0.92617,0.94413,0.85183,0.61946,0.73244,1.16274,0.0007055,0.0007055,0.0007055
90,512.944,0.87536,0.89947,1.43653,0.85946,0.91635,0.95565,0.86201,0.66694,0.77999,1.1573,0.000699312,0.000699312,0.000699312
91,518.459,0.80495,0.86109,1.35948,0.86245,0.93959,0.95163,0.84535,0.6552,0.85379,1.15644,0.000693125,0.000693125,0.000693125
92,523.973,0.73662,0.80344,1.3381,0.85551,0.89074,0.93208,0.83949,0.61273,0.71494,1.15723,0.000686937,0.000686937,0.000686937
93,529.502,0.77289,0.86512,1.36464,0.78212,0.90663,0.94674,0.87329,0.60714,0.84323,1.14554,0.00068075,0.00068075,0.00068075
94,535.006,0.80173,0.83491,1.39113,0.82318,0.9419,0.93819,0.82795,0.66025,0.82806,1.153,0.000674562,0.000674562,0.000674562
95,540.529,0.77176,0.85684,1.35271,0.79643,0.94823,0.9479,0.853,0.64349,0.84417,1.17255,0.000668375,0.000668375,0.000668375
96,546.026,0.7751,0.82006,1.36386,0.8387,0.95431,0.94923,0.85406,0.64245,0.77162,1.13888,0.000662188,0.000662188,0.000662188
97,551.611,0.76688,0.79254,1.32255,0.83936,0.92938,0.97432,0.86207,0.59305,0.75134,1.13132,0.000656,0.000656,0.000656
98,557.251,0.75329,0.79674,1.32316,0.9589,0.90796,0.9755,0.88633,0.62623,0.66126,1.15175,0.000649813,0.000649813,0.000649813
99,562.975,0.75862,0.81994,1.31021,0.9288,0.89448,0.96183,0.87296,0.62495,0.74897,1.12128,0.000643625,0.000643625,0.000643625
100,568.705,0.76156,0.81786,1.34325,0.80585,0.95678,0.97734,0.87105,0.65874,0.74913,1.16302,0.000637437,0.000637437,0.000637437
101,574.445,0.75045,0.76918,1.31915,0.83329,0.95442,0.96374,0.87457,0.55609,0.71769,1.11778,0.00063125,0.00063125,0.00063125
102,580.057,0.75074,0.82688,1.33655,0.92702,0.88596,0.95388,0.87992,0.53087,0.64279,1.0827,0.000625062,0.000625062,0.000625062
